# Chesapeake Bay 2400 Year Isotope-Mg/Ca Data and Temperature Estimates 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21530 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/cronin2010b/cronin2010b-composite.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#
# Parameter_Keywords: geochemistry, carbon isotopes, oxygen isotopes, climate reconstruction
#--------------------
# Contribution_Date
#	Date: 2017-02-24
#--------------------
# Title
#	Study_Name: Chesapeake Bay 2400 Year Isotope-Mg/Ca Data and Temperature Estimates 
#--------------------
# Investigators
# 	Investigators: Cronin, T.M.; Hayo, K.; Thunell, R.C.; Dwyer, G.S.; Saenger, C.; Willard, D.A.
#--------------------
# Description_and_Notes
#	Description: Benthic foraminifer stable isotope (d18O and d13C) and Mg/Ca data, plus Bay temperature and salinity 
#	estimates for the past 2,400 years.  
#--------------------
# Publication 
#	Authors: T.M. Cronin, K. Hayo, R.C. Thunell, G.S. Dwyer, C. Saenger, D.A. Willard
#	Published_Date_or_Year: 2010-11-10
#	Published_Title: The Medieval Climate Anomaly and Little Ice Age in Chesapeake Bay and the North Atlantic Ocean
#	Journal_Name: Palaeogeography, Palaeoecology, Palaeoclimatology 
#	Volume: 297
#	Edition: 
#	Issue: 2
#	Pages: 299-310
#	Report_Number: 
#	DOI: 10.1016/j.palaeo.2010.08.009
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018210005031
#	Full_Citation: 
#	Abstract: A new 2400-year paleoclimate reconstruction from Chesapeake Bay (CB) (eastern US) was compared to other paleoclimate records in the North Atlantic region to evaluate climate variability during the Medieval Climate Anomaly (MCA) and Little Ice Age (LIA). Using Mg/Ca ratios from ostracodes and oxygen isotopes from benthic foraminifera as proxies for temperature and precipitation-driven estuarine hydrography, results show that warmest temperatures in CB reached 16-17C between 600 and 950 CE (Common Era), centuries before the classic European Medieval Warm Period (950-1100 CE) and peak warming in the Nordic Seas (1000-1400 CE). A series of centennial warm/cool cycles began about 1000 CE with temperature minima of ~8 to 9C about 1150, 1350, and 1650-1800 CE, and intervening warm periods (14-15C) centered at 1200, 1400, 1500 and 1600 CE. Precipitation variability in the eastern US included multiple dry intervals from 600 to 1200 CE, which contrasts with wet medieval conditions in the Caribbean. The eastern US experienced a wet LIA between 1650 and 1800 CE when the Caribbean was relatively dry. Comparison of the CB record with other records shows that the MCA and LIA were characterized by regionally asynchronous warming and complex spatial patterns of precipitation, possibly related to ocean-atmosphere processes.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US Geological Survey
#	Grant: Global Change Program
#------------------
# Site_Information 
#	Site_Name: Chesapeake Bay 
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean
#	Country: United States of America
#	Northernmost_Latitude: 38.8868
#	Southernmost_Latitude: 38.3263
#	Easternmost_Longitude: -76.3925
#	Westernmost_Longitude: -76.3982
#	Elevation: -25 m  
#------------------
# Data_Collection   
#	Collection_Name: Cronin2010bComposite
#	Earliest_Year: -183
#	Most_Recent_Year: 1995
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## core	core name, , , , , , , ,C
## depth_cm	depth, , , cm, , , , ,N
## age_AD	age, , , AD, , , , ,N
## Mg/Ca	Magnesium/Calcium ratio, Elphidium selseyense, , mmol/mol, , paleoceanography, , ,N 
## temp	temperature, , , degrees C, , climate reconstructions, Estimated Bay Temp , ,N
## temp-sm	temperature, , , degrees C, , climate reconstructions, Estimated Bay Temp 5PtSmooth, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
core	depth_cm	age_AD	Mg/Ca	temp	temp-sm
RD/2209	123	1939.8	28.93	16.20	14.69
PTMC-3	36	1939.8	39.64	23.10	13.77
RD/2209	125	1938.8	20.47	10.75	14.72
PTXT-2	63	1938.6	20.59	9.34	14.07
RD/2209	127	1937.8	25.84	14.21	13.80
RD/2209	129	1936.8	23.91	12.97	13.64
PTXT-2	65	1936.7	42.87	21.71	14.50
RD/2209	131	1935.9	19.29	9.99	14.45
RD/2209	133	1934.9	24.90	13.61	13.81
RD/2209	135	1933.9	25.44	13.95	11.87
RD/2209	137	1932.9	18.97	9.79	12.19
RD/2209	139	1931.9	22.43	12.02	11.57
RD/2209	141	1930.9	21.74	11.57	12.28
RD/2209	145	1929.0	20.09	10.51	13.23
PTXT-2	77	1925.4	35.35	17.53	13.87
PTXT-2	79	1923.5	29.96	14.54	14.84
RD/2209	159	1922.1	27.35	15.18	14.98
PTXT-2	81	1921.6	33.38	16.44	14.85
RD/2209	161	1921.1	21.22	11.23	14.96
PTMC-3	48	1921.0	29.99	16.88	15.17
RD/2209	163	1920.1	27.19	15.08	14.15
PTXT-2	83	1919.7	32.95	16.20	14.22
RD/2209	165	1919.1	21.41	11.36	13.60
RD/2209	167	1918.2	21.77	11.59	13.24
PTXT-2	85	1917.8	28.59	13.78	12.78
RD/2209	169	1917.2	24.38	13.27	13.27
PTXT-2	87	1915.9	28.85	13.92	13.02
RD/2209	173	1915.2	25.20	13.80	14.33
PTMC-3	52	1914.8	19.79	10.32	14.27
RD/2209	175	1914.2	35.34	20.33	14.03
PTXT-2	89	1914.0	27.12	12.96	14.20
RD/2209	177	1913.2	23.54	12.73	14.61
RD/2209	179	1912.2	26.50	14.64	12.66
PTXT-2	91	1912.2	26.08	12.38	12.06
PTXT-2	93	1910.3	22.84	10.59	11.93
PTMC-3	56	1908.5	19.27	9.98	11.50
PTXT-2	95	1908.4	25.51	12.07	11.38
PTXT-2	97	1906.5	26.27	12.49	11.85
RD/2209	191	1906.3	22.03	11.76	12.65
PTMC-3	58	1905.4	23.86	12.94	13.21
RD/2209	195	1904.4	25.49	13.99	12.44
PTXT-2	101	1902.7	30.56	14.87	13.74
PTXT-2	103	1900.8	19.31	8.63	13.79
RD/2209	203	1900.4	32.11	18.25	13.58
RD/2209	205	1899.5	24.28	13.21	12.31
PTMC-3	62	1899.1	23.90	12.96	13.84
PTXT-2	105	1898.9	19.06	8.49	13.03
RD/2209	207	1898.5	29.08	16.30	13.63
RD/2209	209	1897.5	25.77	14.17	13.36
PTXT-2	107	1897.1	33.00	16.23	14.85
RD/2209	211	1896.5	21.81	11.62	14.96
PTMC-3	64	1896.0	28.51	15.93	14.84
PTXT-2	109	1895.2	34.13	16.85	14.12
RD/2209	215	1894.5	24.82	13.56	15.65
PTXT-2	111	1893.3	26.58	12.66	15.02
PTMC-3	66	1892.9	33.68	19.26	13.66
RD/2209	219	1892.6	23.61	12.78	13.31
RD/2209	221	1891.6	19.35	10.04	13.54
PTXT-2	113	1891.4	25.00	11.79	11.92
PTMC-3	68	1889.8	25.21	13.81	11.82
RD/2209	225	1889.6	21.14	11.19	11.56
PTXT-2	115	1889.5	25.87	12.27	11.71
RD/2209	227	1888.6	17.30	8.72	11.67
RD/2209	229	1887.6	23.31	12.58	12.54
RD/2209	231	1886.7	24.88	13.60	12.88
PTMC-3	70	1886.6	27.90	15.54	14.44
RD/2209	233	1885.7	25.47	13.98	14.36
RD/2209	235	1884.7	29.43	16.52	13.59
RD/2209	237	1883.7	22.67	12.17	12.86
PTMC-3	72	1883.5	18.93	9.76	12.27
PTXT-2	117	1881.4	25.15	11.87	12.45
MD03-2661	2	1881.2	20.92	11.04	11.65
PTMC-3	74	1880.4	30.84	17.43	14.43
PTXT-2	119	1877.6	18.47	8.16	14.78
PTMC-3	76	1877.3	40.48	23.64	15.79
MD03-2661	6	1875.0	24.94	13.64	15.11
PTXT-2	121	1873.7	32.69	16.06	17.10
MD03-2661	8	1871.9	25.57	14.04	13.93
PTMC-3	80	1871.0	31.91	18.12	13.54
MD03-2661	10	1868.8	15.90	7.81	13.61
PTMC-3	82	1867.9	21.86	11.65	13.22
PTXT-2	125	1866.0	33.32	16.41	11.74
MD03-2661	12	1865.7	22.56	12.10	14.39
PTMC-3	84	1864.8	20.41	10.72	14.79
PTXT-2	127	1862.2	41.76	21.09	14.36
PTMC-3	86	1861.6	24.95	13.64	15.38
RD/2209	247	1859.3	25.91	14.26	16.88
PTMC-3	88	1858.5	30.44	17.18	15.62
PTMC-3	90	1855.4	32.07	18.22	15.76
PTXT-2	131	1854.5	30.42	14.79	15.61
MD03-2661	20	1853.1	26.03	14.33	15.32
PTXT-2	133	1850.6	28.16	13.54	14.82
MD03-2661	22	1850.0	28.17	15.72	13.58
MD03-2661	24	1846.8	28.19	15.72	13.03
PTXT-2	135	1846.7	19.23	8.58	13.83
PTXT-2	137	1842.9	24.67	11.60	13.10
PTMC-3	98	1842.9	30.98	17.52	11.69
PTMC-3	102	1836.6	22.53	12.08	12.97
PTXT-2	143	1831.3	19.43	8.69	13.36
PTMC-3	106	1830.4	26.97	14.94	11.45
RD/2209	259	1828.7	24.86	13.58	12.06
PTXT-2	145	1827.5	18.07	7.94	12.49
MD03-2661	38	1824.6	27.29	15.15	12.61
PTXT-2	147	1823.6	23.28	10.83	12.85
MD03-2661	40	1821.4	27.88	15.53	13.48
PTMC-3	112	1821.0	26.73	14.79	12.85
PTXT-2	149	1819.7	23.74	11.08	13.40
RD/2209	263	1818.5	22.46	12.04	14.61
PTMC-3	114	1817.9	24.81	13.55	14.22
PTXT-2	151	1815.9	42.62	21.57	15.00
MD03-2661	44	1814.9	23.70	12.84	15.49
PTMC-3	116	1814.8	27.08	15.01	14.58
RD/2209	265	1813.4	26.22	14.46	12.43
PTXT-2	153	1812.0	19.98	9.00	13.87
MD03-2661	46	1811.7	20.64	10.87	13.26
PTMC-3	118	1811.6	34.83	20.00	13.08
RD/2209	267	1808.3	22.33	11.95	14.66
PTXT-2	155	1808.2	28.27	13.60	16.53
PTMC-3	122	1805.4	29.98	16.88	15.62
MD03-2661	50	1805.2	35.18	20.23	15.63
PTXT-2	157	1804.3	31.56	15.43	14.76
RD/2209	269	1803.2	22.42	12.01	13.33
PTMC-3	124	1802.3	18.17	9.27	12.72
PTXT-2	159	1800.5	21.24	9.70	12.15
PTMC-3	126	1799.1	30.49	17.20	12.19
RD/2209	271	1798.1	23.30	12.58	13.18
PTXT-2	161	1796.6	25.78	12.22	13.61
RD/2209	273	1793.0	25.83	14.20	11.65
PTMC-3	130	1792.9	22.19	11.87	10.95
PTXT-2	163	1792.8	17.06	7.38	11.82
MD03-2661	58	1792.2	17.87	9.08	11.62
PTMC-3	132	1789.8	29.50	16.57	11.95
RD/2209	275	1787.9	24.24	13.18	12.68
PTMC-3	134	1786.6	24.79	13.54	13.01
PTMC-3	136	1783.5	20.91	11.04	12.27
RD/2209	277	1782.8	20.44	10.74	12.20
PTXT-2	169	1781.2	26.90	12.84	12.42
PTMC-3	138	1780.4	23.69	12.83	12.47
RD/2209	279	1777.7	26.51	14.65	12.30
PTXT-2	171	1777.3	24.06	11.27	11.31
MD03-2661	68	1775.8	19.15	9.90	10.43
PTMC-3	142	1774.1	16.04	7.90	10.16
RD/2209	281	1772.6	16.86	8.43	11.98
MD03-2661	70	1772.5	24.43	13.31	12.28
PTMC-3	144	1771.0	35.39	20.36	13.30
MD03-2661	72	1769.2	21.51	11.43	14.06
RD/2209	283	1767.5	23.91	12.97	14.09
MD03-2661	74	1765.8	22.75	12.22	12.05
PTXT-2	177	1765.8	28.07	13.49	11.69
MD03-2661	76	1762.5	19.54	10.16	11.59
RD/2209	285	1762.4	18.73	9.63	11.33
MD03-2661	78	1759.2	23.08	12.43	10.62
PTXT-2	181	1758.1	23.52	10.96	12.00
RD/2209	287	1757.3	19.18	9.92	11.20
PTXT-2	183	1754.2	34.47	17.04	10.80
PTXT-2	185	1750.3	13.91	5.63	10.84
MD03-2661	84	1749.2	20.00	10.45	11.27
RD/2209	291	1747.1	21.13	11.18	8.93
PTXT-2	187	1746.5	25.51	12.07	9.84
MD03-2661	86	1745.8	12.01	5.30	9.92
MD03-2661	88	1742.4	19.59	10.19	9.59
RD/2209	293	1742.0	20.61	10.85	8.87
MD03-2661	90	1739.1	18.61	9.56	9.42
RD/2209	295	1736.9	16.91	8.46	9.09
PTXT-2	193	1734.9	18.22	8.02	9.08
MD03-2661	94	1732.3	17.08	8.57	9.30
RD/2209	297	1731.8	20.50	10.77	9.92
PTXT-2	195	1731.1	22.99	10.67	11.30
PTXT-2	197	1727.2	24.62	11.57	12.04
PTXT-2	199	1723.3	30.66	14.93	12.84
RD/2209	301	1721.6	22.82	12.27	11.72
RD/2209	303	1716.6	26.70	14.77	11.08
PTXT-2	203	1715.6	12.89	5.06	10.72
MD03-2661	104	1715.3	16.74	8.35	10.32
RD/2209	305	1711.5	24.16	13.13	10.07
RD/2209	307	1706.4	19.75	10.29	11.87
PTXT-2	209	1704.1	28.14	13.53	12.53
MD03-2661	112	1701.6	25.61	14.06	12.21
RD/2209	309	1701.3	21.88	11.66	12.78
PTXT-2	211	1700.2	24.51	11.51	11.73
RD/2209	310	1698.7	24.16	13.13	11.80
PTXT-2	213	1696.4	18.71	8.29	12.42
MD03-2661	116	1694.7	26.16	14.42	11.47
PTXT-2	215	1692.5	30.38	14.77	10.15
PTXT-2	221	1680.9	15.94	6.76	10.58
MD03-2661	126	1677.3	13.86	6.50	10.10
MD03-2661	128	1673.9	20.04	10.48	10.04
PTXT-2	225	1673.2	25.36	11.99	11.01
PTXT-2	237	1650.1	29.81	14.46	11.86
MD03-2661	142	1649.2	21.84	11.64	11.56
PTXT-2	239	1646.2	23.11	10.74	11.15
PTXT-2	241	1642.4	19.92	8.97	9.89
MD03-2661	146	1642.2	19.24	9.97	10.88
MD03-2661	148	1638.6	16.39	8.13	10.83
PTXT-2	243	1638.5	33.67	16.60	14.69
MD03-2661	150	1635.0	20.06	10.49	14.64
MD03-2661	152	1631.5	47.66	28.26	15.52
PTXT-2	251	1623.1	21.30	9.73	14.44
MD03-2661	160	1617.1	23.23	12.53	15.34
MD03-2661	162	1613.5	21.13	11.18	12.56
PTXT-2	257	1611.5	30.76	14.98	12.71
PTXT-2	259	1607.7	29.70	14.40	11.97
MD03-2661	166	1606.3	19.99	10.45	11.80
PTXT-2	261	1603.8	19.71	8.85	10.72
MD03-2661	168	1602.7	19.79	10.31	10.83
PTXT-2	263	1600.0	21.04	9.59	10.96
MD03-2661	170	1599.1	27.00	14.96	11.97
PTXT-2	265	1596.1	23.72	11.08	11.60
MD03-2661	172	1595.5	25.34	13.89	12.15
PTXT-2	267	1592.2	19.01	8.46	10.93
MD03-2661	174	1591.8	22.97	12.36	10.91
PTXT-2	269	1588.4	19.74	8.87	10.20
MD03-2661	176	1588.2	20.81	10.97	10.61
MD03-2661	178	1584.5	19.78	10.31	10.51
MD03-2661	180	1580.9	20.13	10.54	11.35
MD03-2661	182	1577.2	22.22	11.88	11.41
MD03-2661	184	1573.5	24.07	13.07	11.55
PTXT-2	277	1573.0	24.00	11.23	12.13
MD03-2661	186	1569.9	20.91	11.04	12.41
PTXT-2	279	1569.1	27.96	13.43	12.61
MD03-2661	188	1566.2	24.37	13.27	12.96
MD03-2661	190	1562.5	25.60	14.06	13.16
MD03-2661	192	1558.8	23.99	13.02	12.81
MD03-2661	194	1555.1	22.42	12.01	11.76
MD03-2661	202	1540.2	21.92	11.69	11.16
MD03-2661	204	1536.5	16.26	8.04	11.55
PTXT-2	297	1534.4	23.64	11.03	11.69
MD03-2661	206	1532.8	26.99	14.95	14.12
PTXT-2	299	1530.5	26.71	12.74	14.10
MD03-2661	208	1529.0	40.81	23.86	14.27
PTXT-2	301	1526.7	18.04	7.92	12.14
MD03-2661	210	1525.3	22.19	11.86	11.59
PTXT-2	303	1522.8	11.60	4.35	9.48
PTXT-2	305	1519.0	21.76	9.99	10.19
MD03-2661	214	1517.7	24.41	13.29	9.75
MD03-2661	216	1514.0	21.54	11.44	10.90
PTXT-2	309	1511.3	21.24	9.70	10.07
MD03-2661	218	1510.2	19.45	10.10	10.75
PTXT-2	311	1507.4	14.25	5.82	11.78
MD03-2661	220	1506.4	29.70	16.70	12.32
PTXT-2	313	1503.6	33.63	16.58	12.26
PTXT-2	315	1499.7	26.07	12.38	13.04
MD03-2661	224	1498.8	19.00	9.81	12.00
PTXT-2	317	1495.8	21.32	9.74	10.04
MD03-2661	226	1495.0	21.64	11.51	10.63
PTXT-2	319	1492.0	15.95	6.76	11.35
MD03-2661	228	1491.2	27.61	15.35	10.97
MD03-2661	230	1487.4	24.56	13.39	10.98
PTXT-2	325	1480.4	17.90	7.84	12.14
MD03-2661	234	1479.7	21.68	11.53	11.80
PTXT-2	327	1476.6	26.45	12.59	11.18
MD03-2661	236	1475.9	24.93	13.63	12.14
PTXT-2	329	1472.7	22.30	10.29	11.46
MD03-2661	238	1472.1	23.43	12.66	10.80
PTXT-2	331	1468.9	18.44	8.14	9.45
MD03-2661	240	1468.2	18.18	9.28	9.43
PTXT-2	333	1465.0	16.16	6.88	8.91
MD03-2661	244	1460.5	19.61	10.20	9.92
PTXT-2	339	1453.4	21.87	10.05	9.87
MD03-2661	250	1448.9	24.25	13.19	10.64
PTXT-2	343	1445.7	20.07	9.05	10.72
MD03-2661	252	1445.0	20.36	10.69	11.28
MD03-2661	254	1441.1	20.24	10.61	11.71
MD03-2661	256	1437.2	23.72	12.85	12.24
PTXT-2	349	1434.1	31.42	15.35	12.48
MD03-2661	258	1433.3	21.92	11.69	14.00
PTXT-2	351	1430.3	25.17	11.88	14.37
MD03-2661	260	1429.4	32.07	18.22	13.40
PTXT-2	353	1426.4	30.29	14.72	13.15
PTXT-2	355	1422.6	22.63	10.47	13.42
PTXT-2	357	1418.7	22.57	10.44	13.01
PTXT-2	359	1414.9	27.68	13.27	13.69
MD03-2661	270	1409.7	28.84	16.15	13.22
MD03-2661	278	1393.9	31.90	18.12	13.83
MD03-2661	280	1389.9	16.38	8.12	14.21
PTXT-2	372	1389.8	28.07	13.49	13.46
MD03-2661	282	1385.9	27.35	15.18	12.19
PTXT-2	375	1384.0	26.06	12.37	13.01
PTXT-2	377	1380.2	25.02	11.80	12.01
PTXT-2	379	1376.3	25.76	12.21	10.84
MD03-2661	288	1373.9	16.95	8.49	10.00
MD03-2661	292	1365.9	18.23	9.31	10.18
MD03-2661	294	1361.9	16.50	8.20	9.39
PTXT-2	387	1360.9	26.66	12.71	9.00
MD03-2661	296	1357.9	16.60	8.27	8.89
